Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,45738,44298,34408,23709,20029
Interest Expense,19724,19377,12666,5471,3071
Income Before Tax,17584,17304,11303,6217,5469
Income Tax Expense,3411,3354,2094,2335,1593
Income from Continuing Operations,14173,13950,9209,3882,3875
Net Income,14173,13950,9209,3882,3875
Net Income available to common shareholders,14173,13950,9209,3882,3875
Basic EPS,-,-,1.38,0.81,0.87
Diluted EPS,-,-,1.38,0.81,0.87
Basic Average Shares,-,-,6653,4779,4474
Diluted Average Shares,-,-,6653,4779,4474
