Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2987000,3229000,3130000,2591000
Depreciation & amortization,-,957000,787000,804000
Change in working capital,-,-3706000,-1541000,350000
Inventory,-,-3306000,-1085000,1249000
Other working capital,-,-2219000,-751000,3809000
Other non-cash items,-,-189000,-188000,627000
Net cash provided by operating activites,-,-541000,2058000,4352000
Investments in property plant and equipment,-,-1678000,-2809000,-543000
Acquisitions net,-,-171000,-28000,-20000
Purchases of investments,-,-259000,-34000,-94000
Sales/Maturities of investments,-,46000,41000,22000
Other investing activites,-,108000,166000,53000
Net cash used for investing activites,-,-1656000,-2659000,-482000
Net change in cash,-,-295000,231000,-205000
Cash at beginning of period,-,2139000,1907000,2113000
Cash at end of period,-,1843000,2139000,1907000
Operating Cash Flow,-,-541000,2058000,4352000
Capital Expenditure,-,-1678000,-2809000,-543000
Free Cash Flow,-,-2219000,-751000,3809000
