Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,416256000,412601000,423104000
Liabilities,,,
Total Liabilities,398619000,394002000,402973000
Stockholders' Equity,,,
Common Stock,6636000,0,6636000
Retained Earnings,9280000,9129000,8223000
Total stockholders' equity,17616000,18577000,20111000
Total liabilities and stockholders' equity,416256000,412601000,423104000
