Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,359000,359000,349000,289000,27000
Depreciation & amortization,187000,187000,152000,194000,103000
Change in working capital,-213000,-213000,-264000,-183000,-453000
Other working capital,325000,325000,44000,216000,-199000
Other non-cash items,-233000,-233000,-283000,-157000,-125000
Net cash provided by operating activites,478000,478000,189000,365000,-35000
Investments in property plant and equipment,-153000,-153000,-145000,-149000,-164000
Acquisitions net,0,0,-17000,-96000,-
Purchases of investments,-3346000,-3346000,-2665000,-2406000,-3589000
Sales/Maturities of investments,3106000,3106000,2605000,3030000,3747000
Other investing activites,-,-,-,-,333000
Net cash used for investing activites,-387000,-387000,-177000,422000,365000
Net change in cash,116000,116000,-265000,-27000,93000
Cash at beginning of period,781000,781000,1049000,1087000,902000
Cash at end of period,886000,886000,781000,1049000,1087000
Operating Cash Flow,478000,478000,189000,365000,-35000
Capital Expenditure,-153000,-153000,-145000,-149000,-164000
Free Cash Flow,325000,325000,44000,216000,-199000
