Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,39916000,43452000,38525000,47597000
Depreciation & amortization,-,44498000,46500000,46977000
Change in working capital,-,1184000,-549000,1648000
Inventory,-,-4207000,1859000,-267000
Other working capital,-,97283000,107683000,94433000
Other non-cash items,-,2850000,14839000,7930000
Net cash provided by operating activites,-,97283000,107683000,94433000
Purchases of investments,-,-43000,-121000,-870000
Sales/Maturities of investments,-,1132000,1157000,41062000
Other investing activites,-,-60861000,-50152000,-50462000
Net cash used for investing activites,-,-58025000,-48460000,-10394000
Net change in cash,-,4960000,-7054000,710000
Cash at beginning of period,-,44976000,51974000,50072000
Cash at end of period,-,50084000,44976000,51974000
Operating Cash Flow,-,97283000,107683000,94433000
Free Cash Flow,-,97283000,107683000,94433000
