Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,304419,265779,188116,140110
Depreciation & amortization,-,27658,23920,14275
Change in working capital,-,-258623,-176128,-34678
Inventory,-,-87096,-51968,-121416
Other working capital,-,49189,-82914,192076
Other non-cash items,-,-15776,-12133,5745
Net cash provided by operating activites,-,71513,-27286,214284
Investments in property plant and equipment,-,-22324,-55628,-22208
Purchases of investments,-,-,-3856,-3851
Sales/Maturities of investments,-,42132,-,18257
Other investing activites,-,-1,-44428,-
Net cash used for investing activites,-,19807,-103912,-7802
Net change in cash,-,66947,172812,205515
Cash at beginning of period,-,775447,602634,397118
Cash at end of period,-,842394,775447,602634
Operating Cash Flow,-,71513,-27286,214284
Capital Expenditure,-,-22324,-55628,-22208
Free Cash Flow,-,49189,-82914,192076
