Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-216251,-316733,-208285,-317190
Depreciation & amortization,73153,77384,113798,176231
Change in working capital,29270,155702,-111948,-122059
Inventory,-24888,104056,-166351,31607
Other working capital,-109414,-175733,-187766,-274221
Other non-cash items,10970,1315,34030,-1114
Net cash provided by operating activites,-15997,-48221,-154050,-46221
Investments in property plant and equipment,-93417,-127512,-33716,-228000
Purchases of investments,-2100,-310,-,-68000
Sales/Maturities of investments,-,61382,8608,12853
Other investing activites,4574,18390,56847,98654
Net cash used for investing activites,-46544,-16764,-7424,-174693
Net change in cash,91559,-118454,-130112,-406864
Cash at beginning of period,613181,636617,766729,1173594
Cash at end of period,705941,518163,636617,766729
Operating Cash Flow,-15997,-48221,-154050,-46221
Capital Expenditure,-93417,-127512,-33716,-228000
Free Cash Flow,-109414,-175733,-187766,-274221
