Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,47812,554318,677718,691204
Depreciation & amortization,-,1087019,906915,779015
Change in working capital,-,-512851,-207794,-573195
Inventory,-,-732524,-372157,-455642
Other working capital,-,-1190231,254080,150613
Other non-cash items,-,191411,124022,320529
Net cash provided by operating activites,-,1301448,1375548,1096981
Investments in property plant and equipment,-,-2491679,-1121468,-946368
Acquisitions net,-,-,-47501,-
Purchases of investments,-,-564880,-9830,-9233
Sales/Maturities of investments,-,564700,131117,158639
Other investing activites,-,-32855,-40279,28917
Net cash used for investing activites,-,-2520326,-1075112,-757349
Net change in cash,-,628755,7713,-32299
Cash at beginning of period,-,1721518,1713804,1746104
Cash at end of period,-,2350273,1721518,1713804
Operating Cash Flow,-,1301448,1375548,1096981
Capital Expenditure,-,-2491679,-1121468,-946368
Free Cash Flow,-,-1190231,254080,150613
