Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-10522,-10522,-6718,-7352,-6185
Acquisitions net,-1265,-1265,-,-,-
Net cash used for investing activites,-11787,-11787,-6718,-7351,-6179
Debt repayment,-7637,-7637,-,-,-7950
Common stock issued,-,-,-,-,28717
Common stock repurchased,-,-,-,-,-1754
Dividends Paid,-7322,-7322,-8933,-11558,-16117
Net cash used privided by (used for) financing activities,-14959,-14959,-2963,-6758,2896
Net change in cash,-1392,-1392,808,-938,3795
Cash at beginning of period,7233,7233,6425,7363,3568
Cash at end of period,5841,5841,7233,6425,7363
Capital Expenditure,-10522,-10522,-6718,-7352,-6185
Free Cash Flow,14832,14832,3771,5819,893
