Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,12639000,18059000,28507000,24168000
Depreciation & amortization,8394000,6883000,5708000,5397000
Change in working capital,-32074000,-54145000,-7952000,17478000
Inventory,10468000,-13236000,-17390000,-16397000
Other working capital,-19965000,-57397000,18971000,43528000
Other non-cash items,1701000,1136000,712000,1163000
Net cash provided by operating activites,-10701000,-37534000,28878000,49024000
Investments in property plant and equipment,-9264000,-19863000,-9907000,-5496000
Acquisitions net,-,-,-1375000,-
Purchases of investments,-474000,-2040000,-825000,-192000
Sales/Maturities of investments,589000,864000,1549000,2732000
Other investing activites,-565000,662000,-1070000,-3217000
Net cash used for investing activites,-9540000,-19020000,-11230000,-5860000
Net change in cash,359000,-19895000,5894000,14766000
Cash at beginning of period,35185000,50817000,44922000,30156000
Cash at end of period,36111000,30922000,50817000,44922000
Operating Cash Flow,-10701000,-37534000,28878000,49024000
Capital Expenditure,-9264000,-19863000,-9907000,-5496000
Free Cash Flow,-19965000,-57397000,18971000,43528000
