Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,229625,229625,225210,173944,159706
Interest Expense,45748,45748,31584,14432,10755
Income Before Tax,74803,74803,77957,57246,54204
Income Tax Expense,15607,15607,14165,34230,18168
Income from Continuing Operations,59196,59196,63792,23016,36036
Net Income,59206,59206,63792,23016,36036
Net Income available to common shareholders,59206,59206,63792,23016,36036
Basic EPS,-,-,3.15,1.34,2.14
Diluted EPS,-,-,3.13,1.32,2.12
Basic Average Shares,-,-,20235,17150,16860
Diluted Average Shares,-,-,20390,17381,17037
