Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-303,-311,-13125,-1461,-584.067
Acquisitions net,-,71230,-,-,-
Other investing activites,-,-27,-4879,-,-
Net cash used for investing activites,9446,70892,-18004,-1461,-584.067
Debt repayment,-144,-18733,-,-,-
Common stock issued,-,-,-,-,24713
Common stock repurchased,-,-,-,-,-1236
Dividends Paid,-,-11838,-,-,-
Other financing activites,-,-29016,-,-,-
Net cash used privided by (used for) financing activities,-29055,-57551,14915,-,23477
Net change in cash,-27586,5242,-11125,-8649,15378
Cash at beginning of period,43643,5349,11595,20244,4866
Cash at end of period,16057,10591,470,11595,20244
Capital Expenditure,-303,-311,-13125,-1461,-584.067
Free Cash Flow,-8280,-8410,-21161,-8649,-8099
