Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,26100,25200,22200,-10700
Depreciation & amortization,15900,15500,15400,14900
Change in working capital,-20800,-14100,1200,3000
Other working capital,-3300,4000,7800,9400
Net cash provided by operating activites,14800,24500,30900,23800
Investments in property plant and equipment,-18100,-20500,-23100,-14400
Acquisitions net,-11100,-7400,-1000,-
Purchases of investments,-11700,-7200,-4000,-2400
Sales/Maturities of investments,19900,12100,1800,5600
Other investing activites,-1200,-1200,-700,-500
Net cash used for investing activites,-14700,-17200,-22300,-10100
Net change in cash,-3800,-200,2000,6300
Cash at beginning of period,90800,106800,71800,65600
Cash at end of period,87000,109600,106800,71800
Operating Cash Flow,14800,24500,30900,23800
Capital Expenditure,-18100,-20500,-23100,-14400
Free Cash Flow,-3300,4000,7800,9400
