Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-5982000,-1812000,2293025,-42118
Depreciation & amortization,-,184000,85834,25534
Change in working capital,-,3383000,-3382484,-212005
Inventory,-,-58000,-152102,86270
Other working capital,-,81000,-162694,-423424
Other non-cash items,-,15000,177044,14527
Net cash provided by operating activites,-,640000,215963,-217765
Investments in property plant and equipment,-,-559000,-378657,-205659
Acquisitions net,-,-134000,-58869,-
Purchases of investments,-,-170000,-31000,-18000
Sales/Maturities of investments,-,-,24000,-
Other investing activites,-,-60000,-127987,-5378
Net cash used for investing activites,-,-957000,-572513,-254037
Net change in cash,-,-531000,5779682,32703
Cash at beginning of period,-,6982000,1203264,1160560
Cash at end of period,-,6451000,6982946,1203264
Operating Cash Flow,-,640000,215963,-217765
Capital Expenditure,-,-559000,-378657,-205659
Free Cash Flow,-,81000,-162694,-423424
