Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,28412451,25703769,23449518,21808563
Liabilities,,,,
Total Liabilities,21264746,19416256,17809127,16767655
Stockholders' Equity,,,,
Common Stock,3319882,3319882,3319882,2319882
Retained Earnings,-,0,0,0
Total stockholders' equity,7145826,6286112,5622862,5026780
Total liabilities and stockholders' equity,28412451,25703769,23449518,21808563
