Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4398000,3464000,5443000,5808000
Depreciation & amortization,-,1814000,1638000,1552000
Change in working capital,-,-3623000,-2991000,-2060000
Inventory,-,-1446000,-4405000,-3282000
Other working capital,-,-3140000,1966000,1539000
Other non-cash items,-,1075000,1116000,-770000
Net cash provided by operating activites,-,2090000,4426000,4348000
Investments in property plant and equipment,-,-5230000,-2460000,-2809000
Purchases of investments,-,-,-158000,-40000
Sales/Maturities of investments,-,35000,1005000,247000
Other investing activites,-,-70000,6000,-80000
Net cash used for investing activites,-,-5286000,-1636000,-2574000
Net change in cash,-,-4937000,1956000,-8722000
Cash at beginning of period,-,23145000,21188000,29911000
Cash at end of period,-,18207000,23145000,21188000
Operating Cash Flow,-,2090000,4426000,4348000
Capital Expenditure,-,-5230000,-2460000,-2809000
Free Cash Flow,-,-3140000,1966000,1539000
