Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-,-,-,-5.547,-229.077
Purchases of investments,-5,-5,-,-,-
Net cash used for investing activites,-5,-5,-,-5.547,-229.077
Common stock issued,-,-,-,-,100
Net cash used privided by (used for) financing activities,263.36,263.36,106.048,168.463,263.287
Net change in cash,-3.12,-3.12,-4.064,1.268,-5.063
Cash at beginning of period,3.593,3.593,7.657,6.389,11.452
Cash at end of period,0.473,0.473,3.593,7.657,6.389
Capital Expenditure,-,-,-,-5.547,-229.077
Free Cash Flow,-261.48,-261.48,-110.112,-167.195,-268.35
