Breakdown,4/30/2019,4/30/2018,4/30/2017,4/30/2016
Total Assets,2013316,1762496,1530101,1098694
Liabilities,,,,
Total Liabilities,150501,105962,116027,87745
Stockholders' Equity,,,,
Common Stock,10930,10857,10698,10698
Total stockholders' equity,1862815,1656534,1414074,1010949
Total liabilities and stockholders' equity,2013316,1762496,1530101,1098694
