Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-1349,-1349,-3806,-3682
Acquisitions net,-,-,-1450,-22582
Net cash used for investing activites,-1311,-1311,-5252,-26256
Debt repayment,-7276,-7276,-8605,-5490
Dividends Paid,-,-,-2480,-3628
Other financing activites,-,-,-,753
Net cash used privided by (used for) financing activities,-6345,-6345,-7212,16721
Net change in cash,-8440,-8440,-4114,1338
Cash at beginning of period,3948,3948,8064,6723
Cash at end of period,-4489,-4489,3948,8064
Capital Expenditure,-1349,-1349,-3806,-3682
Free Cash Flow,-2133,-2133,4544,7191
