Attribute,Value
Previous Close,16.92
Open,17.48
Bid,16.58 x 3200
Ask,18.17 x 3100
Day's Range,17.41 - 18.26
52 Week Range,15.47 - 49.37
Volume,195213
Avg. Volume,163145
Net Assets,15.68M
NAV,17.04
PE Ratio (TTM),
Yield,0.00%
YTD Daily Total Return,-39.93%
Beta (5Y Monthly),-0.30
Expense Ratio (net),1.35%
Inception Date,2011-10-14
