Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-295000,-295000,-437000,-340000,-364000
Depreciation & amortization,-,-,68000,22000,19000
Change in working capital,-,-,-2856000,-66000,-127000
Other working capital,-,-,-3799000,-606000,-438000
Other non-cash items,-,-,161000,26000,-11000
Net cash provided by operating activites,-,-,-3006000,-320000,-411000
Investments in property plant and equipment,-,-,-793000,-286000,-27000
Acquisitions net,-,-,-4000,-,0
Purchases of investments,-,-,-,-1094000,-2000
Sales/Maturities of investments,-,-,1099000,-,-
Net cash used for investing activites,-,-,127000,-1810000,-992000
Net change in cash,-,-,-1779000,1736000,-954000
Cash at beginning of period,-,-,2633000,868000,1815000
Cash at end of period,-,-,864000,2633000,868000
Operating Cash Flow,-,-,-3006000,-320000,-411000
Capital Expenditure,-,-,-793000,-286000,-27000
Free Cash Flow,-,-,-3799000,-606000,-438000
