Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5243000,5587000,5639000,3998000
Depreciation & amortization,-,631000,585000,592000
Change in working capital,-,18378000,-15093000,15155000
Inventory,-,-229000,-2355000,-46000
Other working capital,-,20898000,-11725000,19402000
Other non-cash items,-,404000,731000,804000
Net cash provided by operating activites,-,24055000,-9631000,19747000
Investments in property plant and equipment,-,-3157000,-2094000,-345000
Acquisitions net,-,-74000,-10000,-89000
Purchases of investments,-,-962000,-29000,-758000
Sales/Maturities of investments,-,1198000,1564000,-
Other investing activites,-,1051000,-39000,-4000
Net cash used for investing activites,-,-1917000,279000,-1164000
Net change in cash,-,12866000,-9406000,7377000
Cash at beginning of period,-,8766000,18173000,10795000
Cash at end of period,-,21633000,8766000,18173000
Operating Cash Flow,-,24055000,-9631000,19747000
Capital Expenditure,-,-3157000,-2094000,-345000
Free Cash Flow,-,20898000,-11725000,19402000
