Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,453838,263692,419447,353733
Depreciation & amortization,-,483834,318734,276028
Change in working capital,-,-371354,-473625,115283
Inventory,-,-659968,-233711,225709
Other working capital,-,-234341,-222516,308229
Other non-cash items,-,-62115,11554,-9334
Net cash provided by operating activites,-,250702,257883,516403
Investments in property plant and equipment,-,-485043,-480399,-208174
Acquisitions net,-,-2319265,-1108139,-
Purchases of investments,-,-1509,-1469,-164673
Sales/Maturities of investments,-,49297,3224,-
Other investing activites,-,-4821,-22887,62078
Net cash used for investing activites,-,-2075678,-1581285,-308533
Net change in cash,-,527085,-168998,644017
Cash at beginning of period,-,1545435,1714433,1070416
Cash at end of period,-,2072520,1545435,1714433
Operating Cash Flow,-,250702,257883,516403
Capital Expenditure,-,-485043,-480399,-208174
Free Cash Flow,-,-234341,-222516,308229
