Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1137223,1137223,1845039,1382380,1092512
Depreciation & amortization,-,-,1061162,893647,854080
Stock based compensation,-,-,6529,10191,8811
Change in working capital,-,-,-256980,-986710,182223
Inventory,-,-,-49847,-757926,-261173
Other working capital,-,-,-342622,-786132,691156
Other non-cash items,-,-,73779,1470,-24520
Net cash provided by operating activites,-,-,1509618,1202209,2089941
Investments in property plant and equipment,-,-,-1852240,-1988341,-1398785
Acquisitions net,-,-,-4900,0,-30000
Purchases of investments,-,-,-22000,-5000,-2000
Sales/Maturities of investments,-,-,22100,5000,149000
Other investing activites,-,-,-728662,96585,122759
Net cash used for investing activites,-,-,-1828391,-1876493,-983775
Net change in cash,-,-,1315455,-540198,182806
Cash at beginning of period,-,-,419488,959686,741287
Cash at end of period,-,-,1734943,419488,959686
Operating Cash Flow,-,-,1509618,1202209,2089941
Capital Expenditure,-,-,-1852240,-1988341,-1398785
Free Cash Flow,-,-,-342622,-786132,691156
