Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Total Revenue,-,50286,44696,37336
Interest Expense,-,9111,4573,3371
Income Before Tax,-,19457,17128,12320
Income Tax Expense,-,5204,7892,4894
Income from Continuing Operations,-,14253,9236,7425
Net Income,-,14253,9236,7425
Net Income available to common shareholders,-,13831,8870,7023
Basic EPS,-,0.92,0.58,0.55
Diluted EPS,-,0.89,0.58,0.53
Basic Average Shares,-,15105,15191,12788
Diluted Average Shares,-,15551,15191,13158
