Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,115035,115035,89927,73283,65281
Interest Expense,44861,44861,23645,13938,11707
Income Before Tax,55321,55321,46206,46797,32568
Income Tax Expense,16112,16112,10101,21269,13489
Income from Continuing Operations,39209,39209,36105,25528,19079
Net Income,39209,39209,36105,25528,19079
Net Income available to common shareholders,39135,39135,36105,25528,19079
Basic EPS,-,-,2.13,1.81,0.82
Diluted EPS,-,-,2.03,1.68,0.82
Basic Average Shares,-,-,17151,14078,15686
Diluted Average Shares,-,-,17968,15238,15686
