Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,187588,501925,468904,346497
Depreciation & amortization,-,1616588,1299140,736745
Change in working capital,-,-11470,203684,420892
Inventory,-,-46591,-41042,56688
Other working capital,-,790803,1120952,-94803
Other non-cash items,-,28559,385903,192939
Net cash provided by operating activites,-,2274629,2513493,1676311
Investments in property plant and equipment,-,-1483826,-1392541,-1771114
Purchases of investments,-,-3941,-4241,-4055
Sales/Maturities of investments,-,-,-,45621
Other investing activites,-,-1190,-1506,14930
Net cash used for investing activites,-,-1467410,-1401906,-1716138
Net change in cash,-,227678,574004,462953
Cash at beginning of period,-,2529697,1831749,1368796
Cash at end of period,-,2757376,2529697,1831749
Operating Cash Flow,-,2274629,2513493,1676311
Capital Expenditure,-,-1483826,-1392541,-1771114
Free Cash Flow,-,790803,1120952,-94803
