Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,126593,126593,119369,120535,113376
Interest Expense,53358,53358,36050,23976,21668
Income Before Tax,53022,53022,49711,51746,39795
Income Tax Expense,12787,12787,9632,26978,13665
Income from Continuing Operations,40235,40235,40079,24768,26130
Net Income,40235,40235,40079,24768,26130
Net Income available to common shareholders,40235,40235,40079,24768,26130
Basic EPS,-,-,0.87,0.55,0.59
Diluted EPS,-,-,0.85,0.53,0.57
Basic Average Shares,-,-,46320,45325,44374
Diluted Average Shares,-,-,47107,46876,45718
