Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4332000,4979000,4386000,3928000
Depreciation & amortization,-,4730000,4531000,4217000
Change in working capital,-,1566000,-5797000,-2925000
Inventory,-,-1095000,-2600000,-816000
Other working capital,-,1066000,1624000,1284000
Other non-cash items,-,-3820000,3762000,1752000
Net cash provided by operating activites,-,7445000,8267000,7344000
Investments in property plant and equipment,-,-6379000,-6643000,-6060000
Purchases of investments,-,-42000,-99000,-245000
Sales/Maturities of investments,-,436000,94000,-
Other investing activites,-,73000,-85000,676000
Net cash used for investing activites,-,-5835000,-6753000,-5524000
Net change in cash,-,-118000,832000,2370000
Cash at beginning of period,-,11506000,10674000,8275000
Cash at end of period,-,11387000,11506000,10674000
Operating Cash Flow,-,7445000,8267000,7344000
Capital Expenditure,-,-6379000,-6643000,-6060000
Free Cash Flow,-,1066000,1624000,1284000
