Breakdown,ttm,12/31/2019,12/31/2018
Investments in property plant and equipment,-86.373,-86.373,-52.218
Purchases of investments,-,-,-2000
Sales/Maturities of investments,2000,2000,-
Other investing activites,-,-,11.145
Net cash used for investing activites,1914,1914,-2041
Common stock issued,-,-,6000
Common stock repurchased,-,-,-551.005
Net cash used privided by (used for) financing activities,-,-,6949
Net change in cash,-712.701,-712.701,2838
Cash at beginning of period,2908,2908,70.588
Cash at end of period,2195,2195,2908
Capital Expenditure,-86.373,-86.373,-52.218
Free Cash Flow,-2713,-2713,-2123
