Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-399050,-161314,-582181,-58604
Depreciation & amortization,-,78934,83573,35216
Change in working capital,-,-58298,417145,-386623
Inventory,-,15206,-219750,-382745
Other working capital,-,-394846,1311,-496246
Other non-cash items,-,40235,7557,5221
Net cash provided by operating activites,-,-387424,32148,-495677
Investments in property plant and equipment,-,-7422,-30837,-569
Sales/Maturities of investments,-,51390,87780,122698
Other investing activites,-,-1,15000,-1
Net cash used for investing activites,-,45225,74570,120128
Net change in cash,-,-88387,-1950,-56311
Cash at beginning of period,-,280098,282049,248033
Cash at end of period,-,191710,280098,282049
Operating Cash Flow,-,-387424,32148,-495677
Capital Expenditure,-,-7422,-30837,-569
Free Cash Flow,-,-394846,1311,-496246
