Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3737000,4908000,4920000,7282000
Depreciation & amortization,-,2262000,2308000,2252000
Change in working capital,-,81327000,76190000,-106334000
Other working capital,-,80625000,77661000,-93186000
Other non-cash items,-,-31576000,-37366000,-17228000
Net cash provided by operating activites,-,82750000,79725000,-91511000
Investments in property plant and equipment,-,-2125000,-2064000,-1675000
Purchases of investments,-,-356902000,-510886000,-453587000
Sales/Maturities of investments,-,483427000,485517000,701143000
Other investing activites,-,1000,1000,1000
Net cash used for investing activites,-,124502000,-27367000,245900000
Net change in cash,-,205571000,50573000,151520000
Cash at beginning of period,-,311403000,260830000,109309000
Cash at end of period,-,516974000,311403000,260830000
Operating Cash Flow,-,82750000,79725000,-91511000
Capital Expenditure,-,-2125000,-2064000,-1675000
Free Cash Flow,-,80625000,77661000,-93186000
