Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-2179000,-2032000,418000,252000
Depreciation & amortization,-,1638000,1520000,1559000
Change in working capital,-,-618000,842000,-184000
Inventory,-,-765000,784000,-394000
Other working capital,-,-1258000,2187000,768000
Other non-cash items,-,36000,83000,278000
Net cash provided by operating activites,-,1280000,3111000,2054000
Investments in property plant and equipment,-,-2538000,-924000,-1286000
Acquisitions net,-,-210000,-62000,-
Purchases of investments,-,-11000,-100000,-28000
Sales/Maturities of investments,-,75000,-,780000
Other investing activites,-,-94000,-74000,-1000
Net cash used for investing activites,-,-2778000,-1160000,-535000
Net change in cash,-,-592000,281000,-437000
Cash at beginning of period,-,2948000,2666000,3104000
Cash at end of period,-,2398000,2948000,2666000
Operating Cash Flow,-,1280000,3111000,2054000
Capital Expenditure,-,-2538000,-924000,-1286000
Free Cash Flow,-,-1258000,2187000,768000
