Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,471540,443736,338763,334384
Depreciation & amortization,-,219436,184337,174903
Change in working capital,-,-323318,-231818,-4357
Inventory,-,-297876,-292073,112495
Other working capital,-,37596,-50830,194401
Other non-cash items,-,54836,54537,-22750
Net cash provided by operating activites,-,501594,257267,326985
Investments in property plant and equipment,-,-463998,-308097,-132584
Acquisitions net,-,-30375,-,-
Purchases of investments,-,-57282,-106394,-96266
Sales/Maturities of investments,-,-,11038,154907
Other investing activites,-,-15937,28005,38878
Net cash used for investing activites,-,-567592,-375448,-35065
Net change in cash,-,-326129,-334268,47491
Cash at beginning of period,-,2533103,2867372,2819880
Cash at end of period,-,2206974,2533103,2867372
Operating Cash Flow,-,501594,257267,326985
Capital Expenditure,-,-463998,-308097,-132584
Free Cash Flow,-,37596,-50830,194401
