Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,312765,1256276,1112205,716677
Depreciation & amortization,-,1705823,1612141,1435481
Change in working capital,-,-1351689,-1292495,-229194
Inventory,-,-289822,-216678,-823655
Other working capital,-,-1412528,-1543811,-206585
Other non-cash items,-,-9281,47062,-5043
Net cash provided by operating activites,-,1213166,1498113,2278078
Investments in property plant and equipment,-,-2625694,-3041924,-2484663
Purchases of investments,-,-6430,-140554,-6220
Sales/Maturities of investments,-,163904,2671,795
Other investing activites,-,5159,-10379,-66233
Net cash used for investing activites,-,-2462412,-3188834,-2555400
Net change in cash,-,-658958,2581708,-109902
Cash at beginning of period,-,3375909,794200,904102
Cash at end of period,-,2716950,3375909,794200
Operating Cash Flow,-,1213166,1498113,2278078
Capital Expenditure,-,-2625694,-3041924,-2484663
Free Cash Flow,-,-1412528,-1543811,-206585
