Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,353101,410325,347596,335860
Liabilities,,,,
Total Liabilities,247199,291163,243098,236457
Stockholders' Equity,,,,
Common Stock,109525,109112,99370,97816
Retained Earnings,-12192,-142.946,-142.946,-1387
Accumulated other comprehensive income,8569,10193,5271,2974
Total stockholders' equity,105902,119161,104498,99403
Total liabilities and stockholders' equity,353101,410325,347596,335860
