Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,275793,312874,237227,231372,238608
Interest Expense,-,-,-,38,170
Income Before Tax,269022,306641,231343,226044,230610
Income Tax Expense,14727,13968,12425,14558,14324
Income from Continuing Operations,254295,292673,218918,211486,216286
Net Income,254295,292673,218918,211486,216286
Net Income available to common shareholders,254295,292673,218918,211486,216286
Basic EPS,-,0.41,0.31,0.31,0.32
Diluted EPS,-,0.41,0.31,0.31,0.32
Basic Average Shares,-,712377,698658,688734,675375
Diluted Average Shares,-,712377,698658,688734,675375
