Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-5589,-1180,-28.552
Other investing activites,-,-,-45
Net cash used for investing activites,26062,18820,-73.552
Common stock issued,-,10000,15000
Other financing activites,-,-1.884,-981.37
Net cash used privided by (used for) financing activities,10922,9998,14019
Net change in cash,24174,19451,8456
Cash at beginning of period,3289,8526,70.261
Cash at end of period,-,27977,8526
Capital Expenditure,-5589,-1180,-28.552
Free Cash Flow,-18399,-10547,-5518
