Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,13513000,11236000,10350000,9410000
Depreciation & amortization,-,4503000,4185000,4669000
Change in working capital,-,-3821000,2885000,707000
Inventory,-,-1196000,-910000,1359000
Other working capital,-,7515000,14319000,9391000
Other non-cash items,-,-368000,2260000,479000
Net cash provided by operating activites,-,10534000,20204000,15311000
Investments in property plant and equipment,-,-3019000,-5885000,-5920000
Acquisitions net,-,-78000,-1990000,-1587000
Purchases of investments,-,-6097000,-9000,-18000
Sales/Maturities of investments,-,0,112000,738000
Other investing activites,-,-53000,110000,380000
Net cash used for investing activites,-,-7678000,-6640000,-5709000
Net change in cash,-,12706000,10126000,13142000
Cash at beginning of period,-,58787000,48661000,35518000
Cash at end of period,-,71494000,58787000,48661000
Operating Cash Flow,-,10534000,20204000,15311000
Capital Expenditure,-,-3019000,-5885000,-5920000
Free Cash Flow,-,7515000,14319000,9391000
