Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4779000,3231000,2913000,2698000
Depreciation & amortization,-,3432000,3723000,3563000
Change in working capital,-,-3458000,3966000,601000
Inventory,-,423000,-727000,-362000
Other working capital,-,-192000,9815000,2965000
Other non-cash items,-,-828000,1898000,-627000
Net cash provided by operating activites,-,1668000,12613000,5336000
Investments in property plant and equipment,-,-1860000,-2798000,-2371000
Acquisitions net,-,-611000,-690000,-
Purchases of investments,-,-469000,-262000,-74000
Sales/Maturities of investments,-,442000,118000,137000
Other investing activites,-,5000,-193000,-18000
Net cash used for investing activites,-,-492000,-3788000,-2059000
Net change in cash,-,-2910000,2061000,-2112000
Cash at beginning of period,-,37098000,35037000,37150000
Cash at end of period,-,33909000,37098000,35037000
Operating Cash Flow,-,1668000,12613000,5336000
Capital Expenditure,-,-1860000,-2798000,-2371000
Free Cash Flow,-,-192000,9815000,2965000
