Breakdown,ttm,3/31/2019
Total Revenue,2896438,2896438
Cost of Revenue,702515,702515
Gross Profit,2193923,2193923
Total Operating Expenses,1767682,1767682
Operating Income or Loss,426241,426241
Interest Expense,28,28
Income Before Tax,384123,384123
Income Tax Expense,124554,124554
Income from Continuing Operations,259569,259569
Net Income,259568,259568
Net Income available to common shareholders,259568,259568
