Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,338517,313971,241309,154179
Depreciation & amortization,-,93571,62002,59960
Change in working capital,-,-47256,-24777,19784
Other working capital,-,185289,267492,202771
Other non-cash items,-,-41313,27910,15478
Net cash provided by operating activites,-,334043,322421,262026
Investments in property plant and equipment,-,-148754,-54929,-59255
Acquisitions net,-,-57000,-124069,-
Purchases of investments,-,-6000,-5000,-
Other investing activites,-,-1,89,23396
Net cash used for investing activites,-,-211755,-183909,-12030
Net change in cash,-,124311,147033,871622
Cash at beginning of period,-,1268937,1121904,250281
Cash at end of period,-,1393248,1268937,1121904
Operating Cash Flow,-,334043,322421,262026
Capital Expenditure,-,-148754,-54929,-59255
Free Cash Flow,-,185289,267492,202771
