Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,825630,686793,1615064,1368822
Depreciation & amortization,-,601628,632806,551799
Change in working capital,-,68514,-295885,-160679
Inventory,-,39162,52009,-306180
Other working capital,-,-570882,-335699,1193694
Other non-cash items,-,44843,-15157,-246566
Net cash provided by operating activites,-,1328030,759705,1629619
Investments in property plant and equipment,-,-1898912,-1095404,-435925
Purchases of investments,-,-6960143,-500139,-1400135
Sales/Maturities of investments,-,6364600,1373200,2500000
Other investing activites,-,760,-500001,-1800001
Net cash used for investing activites,-,-2493695,791553,-1136061
Net change in cash,-,-1715371,996328,-60224
Cash at beginning of period,-,3874447,2878118,2938343
Cash at end of period,-,2159075,3874447,2878118
Operating Cash Flow,-,1328030,759705,1629619
Capital Expenditure,-,-1898912,-1095404,-435925
Free Cash Flow,-,-570882,-335699,1193694
