Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-82024,-61302,-67499,-68861,-30851
Acquisitions net,-,-,-22484,-48040,-4704
Purchases of investments,-,10138,-,-,-17.18
Other investing activites,1216,-2000,-1872,-,-
Net cash used for investing activites,-90740,-53096,-91821,-116386,-34765
Debt repayment,-,-15000,-32725,-30055,-
Common stock issued,-,31106,35000,77830,71806
Common stock repurchased,-,-734,-1113,-2155,-1944
Dividends Paid,-,-,-1050,-,-
Other financing activites,-,-,-,-,-518.134
Net cash used privided by (used for) financing activities,58882,51693,63048,74018,69344
Net change in cash,1772,3890,9168,-37701,28249
Cash at beginning of period,6412,15437,7105,45854,18012
Cash at end of period,8184,18898,15437,7105,45854
Capital Expenditure,-82024,-61302,-67499,-68861,-30851
Free Cash Flow,-48393,-56009,-29558,-64193,-37181
