Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-1037000,244000,856000,688000
Depreciation & amortization,-,1831000,1613000,1579000
Change in working capital,-,-2573000,-1209000,1065000
Inventory,-,-1779000,-2401000,345000
Other working capital,-,-3935000,-1876000,583000
Other non-cash items,-,-324000,-215000,-733000
Net cash provided by operating activites,-,-285000,1498000,2539000
Investments in property plant and equipment,-,-3650000,-3374000,-1956000
Purchases of investments,-,-2000,-3000,-3000
Sales/Maturities of investments,-,106000,-,-
Other investing activites,-,194000,234000,21000
Net cash used for investing activites,-,-3278000,-3143000,-1889000
Net change in cash,-,-242000,-1009000,479000
Cash at beginning of period,-,507000,1516000,1036000
Cash at end of period,-,264000,507000,1516000
Operating Cash Flow,-,-285000,1498000,2539000
Capital Expenditure,-,-3650000,-3374000,-1956000
Free Cash Flow,-,-3935000,-1876000,583000
