Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-,-,-618.232
Other investing activites,-413.321,-55.356,-233.539
Net cash used for investing activites,-472.627,-33.632,-618.232
Common stock issued,2000,590,5626
Common stock repurchased,-,-,-513.344
Other financing activites,-,-,-98
Net cash used privided by (used for) financing activities,1819,590,5015
Net change in cash,-1182,-2442,3309
Cash at beginning of period,2913,3819,509.789
Cash at end of period,1730,1377,3819
Capital Expenditure,-,-,-618.232
Free Cash Flow,-2609,-2998,-1706
