Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3279000,7894000,9234000,6523000
Depreciation & amortization,385000,266000,160000,139000
Change in working capital,-29461000,-2117000,-5086000,-5224000
Inventory,-31064000,-3077000,-4859000,-4921000
Other working capital,-30729000,7854000,3706000,1871000
Other non-cash items,-247000,-91000,-132000,542000
Net cash provided by operating activites,-29175000,9710000,4349000,2106000
Investments in property plant and equipment,-1554000,-1856000,-643000,-235000
Acquisitions net,-,-1856000,-1000,-667000
Purchases of investments,-152000,-1136000,-500000,-667000
Sales/Maturities of investments,-,23000,100000,206000
Other investing activites,-375000,-223000,-175000,-4000
Net cash used for investing activites,-2957000,2977000,-1569000,-700000
Net change in cash,-20032000,1441000,3508000,5152000
Cash at beginning of period,29970000,20634000,17125000,11972000
Cash at end of period,9924000,22075000,20634000,17125000
Operating Cash Flow,-29175000,9710000,4349000,2106000
Capital Expenditure,-1554000,-1856000,-643000,-235000
Free Cash Flow,-30729000,7854000,3706000,1871000
