Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,218000,631000,-1035000,672000
Depreciation & amortization,-,1031000,1180000,820000
Change in working capital,-,-1625000,1314000,1930000
Inventory,-,-1032000,118000,-473000
Other working capital,-,-789000,3331000,3681000
Other non-cash items,-,111000,-66000,-31000
Net cash provided by operating activites,-,467000,3534000,3935000
Investments in property plant and equipment,-,-1256000,-203000,-254000
Acquisitions net,-,-917000,-1192000,-
Purchases of investments,-,-396000,-,-428000
Sales/Maturities of investments,-,233000,-,-
Other investing activites,-,-34000,-87000,-32000
Net cash used for investing activites,-,-2370000,-1482000,-714000
Net change in cash,-,-293000,933000,1966000
Cash at beginning of period,-,5766000,4833000,2866000
Cash at end of period,-,5473000,5766000,4833000
Operating Cash Flow,-,467000,3534000,3935000
Capital Expenditure,-,-1256000,-203000,-254000
Free Cash Flow,-,-789000,3331000,3681000
