Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,391289,546821,498193,543101
Liabilities,,,,
Total Liabilities,57697,134173,157903,222511
Stockholders' Equity,,,,
Common Stock,429797,427220,372440,368000
Retained Earnings,-113144,-53836,-53836,-53836
Accumulated other comprehensive income,16938,39265,21687,6426
Total stockholders' equity,333591,412648,340291,320589
Total liabilities and stockholders' equity,391289,546821,498193,543101
