Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,248.0926,-1139,-3655,-1098
Other investing activites,-,-,-,-2600
Net cash used for investing activites,248.0926,-1139,-3655,-3698
Debt repayment,-9398,-4625,-2111,-129.9168
Common stock issued,-,151.6355,6523,8936
Common stock repurchased,-,-24.8681,-286.378,-632.2712
Net cash used privided by (used for) financing activities,6711,5280,6733,8173
Net change in cash,799.4682,-2336,-408.804,2351
Cash at beginning of period,1182,2679,2951,475.611
Cash at end of period,1982,343.3267,2542,2836
Capital Expenditure,248.0926,-1139,-3655,-1098
Free Cash Flow,-5911,-7616,-7142,-3222
