Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-191.437,-364.281,-395.408,-457.136,-383.812
Acquisitions net,-,-,-,-,-1530
Purchases of investments,-155.252,-2000,-3100,-3299,-7215
Sales/Maturities of investments,-,2877,-,-,-
Other investing activites,-1465,-1495,-1908,-1965,-933.007
Net cash used for investing activites,1123,1952,-2373,-2645,-6004
Common stock issued,-,-,-,100,-
Common stock repurchased,126.622,-10.5,-,-15.6,-244.21
Dividends Paid,-10862,-17701,-11650,-6406,-6582
Net cash used privided by (used for) financing activities,-10038,-17712,-11650,-6321,-6826
Net change in cash,-4666,-12007,-1762,6950,-10839
Cash at beginning of period,32035,39390,41152,34202,45041
Cash at end of period,27369,27383,39390,41152,34202
Capital Expenditure,-191.437,-364.281,-395.408,-457.136,-383.812
Free Cash Flow,4058,3388,11866,15459,1607
