Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-11.823,-44.88,-6.923,-8.589,-40.312
Other investing activites,-,43.226,-46.817,213.28,-
Net cash used for investing activites,38.85,-1.654,-53.74,304.691,44.206
Common stock issued,3238,4450,5517,1501,4128
Common stock repurchased,-477.041,-388.738,-347.496,-640.483,-
Other financing activites,-,-,-0.158,-,3617
Net cash used privided by (used for) financing activities,2719,4061,5170,860.117,4293
Net change in cash,-1304,-1686,1662,-1903,3359
Cash at beginning of period,3375,3357,1695,3599,239.678
Cash at end of period,2071,1671,3357,1695,3599
Capital Expenditure,-11.823,-44.88,-6.923,-8.589,-40.312
Free Cash Flow,-4074,-5790,-3461,-3077,-1019
