Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,5182879,4617858,4260547,3878633
Liabilities,,,,
Total Liabilities,4679227,4148845,3856869,3554423
Stockholders' Equity,,,,
Common Stock,16733,16459,15858,14717
Retained Earnings,199029,154799,114468,81304
Accumulated other comprehensive income,-1495,-2345,-1212,-1531
Total stockholders' equity,503652,469013,403678,324210
Total liabilities and stockholders' equity,5182879,4617858,4260547,3878633
