Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,1662901,1662901,1548020,1352342,1205162
Interest Expense,414487,414487,265195,140050,104843
Income Before Tax,843917,843917,818696,735100,572188
Income Tax Expense,169882,169882,114995,229476,140511
Income from Continuing Operations,674035,674035,703701,505624,431677
Net Income,674035,674035,703701,505624,431677
Net Income available to common shareholders,674035,674035,703701,505624,431677
Basic EPS,-,-,4.86,3.50,3.00
Diluted EPS,-,-,4.81,3.46,2.97
Basic Average Shares,-,-,144862,144445,144087
Diluted Average Shares,-,-,146169,145894,145346
