Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1559,-1559,-4035,-4765,-508.6111
Acquisitions net,-428.2044,-428.2044,-2555,64850,-1382
Purchases of investments,-5735,-5735,-,-,-
Sales/Maturities of investments,-,-,-,1364,-
Other investing activites,-2778,-2778,-1105,-,-205.0249
Net cash used for investing activites,-7013,-7013,-7661,61455,-2096
Debt repayment,-,-,-735.3358,-812.8205,-
Common stock issued,37242,37242,38558,40781,31718
Common stock repurchased,-1610,-1610,-1384,-610.2564,-119.2095
Other financing activites,-2639,-2639,-3579,-,-
Net cash used privided by (used for) financing activities,36643,36643,32859,39358,31599
Net change in cash,-22786,-22786,-45477,64317,19606
Cash at beginning of period,55297,55297,106479,29322,11718
Cash at end of period,31270,31270,54889,96350,31607
Capital Expenditure,-1559,-1559,-4035,-4765,-508.6111
Free Cash Flow,-53975,-53975,-74711,-41262,-10406
