Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,5246829,4246688,3964303,3141156
Liabilities,,,,
Total Liabilities,4590806,3754696,3507225,2800301
Stockholders' Equity,,,,
Common Stock,0,0,0,0
Retained Earnings,269738,224035,185570,164173
Accumulated other comprehensive income,6432,-8144,-3551,-5644
Total stockholders' equity,656023,491992,457078,340855
Total liabilities and stockholders' equity,5246829,4246688,3964303,3141156
