Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4681000,4457000,4730000,3338000
Depreciation & amortization,-,774000,805000,850000
Stock based compensation,-,40000,28000,35000
Change in working capital,-,-745000,-4264000,-803000
Inventory,-,-158000,-3146000,-1747000
Other working capital,-,5777000,54000,3527000
Other non-cash items,-,141000,-481000,100000
Net cash provided by operating activites,-,6072000,533000,4479000
Investments in property plant and equipment,-,-295000,-479000,-952000
Purchases of investments,-,-248000,-243000,-141000
Sales/Maturities of investments,-,9000,496000,38000
Other investing activites,-,-443000,-442000,-49000
Net cash used for investing activites,-,-924000,-664000,-1094000
Net change in cash,-,3040000,-2026000,583000
Cash at beginning of period,-,17826000,19853000,18953000
Cash at end of period,-,20867000,17826000,19853000
Operating Cash Flow,-,6072000,533000,4479000
Capital Expenditure,-,-295000,-479000,-952000
Free Cash Flow,-,5777000,54000,3527000
