Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2111000,2341000,1598000,972000
Depreciation & amortization,586000,509000,560000,589000
Change in working capital,3907000,9885000,-9821000,-7638000
Inventory,2779000,1760000,-3302000,-1054000
Other working capital,6518000,12073000,-8249000,-4851000
Other non-cash items,418000,-93000,190000,333000
Net cash provided by operating activites,6965000,12335000,-7993000,-4685000
Investments in property plant and equipment,-447000,-262000,-256000,-166000
Acquisitions net,-,-1833000,-595000,-
Purchases of investments,-,-,-20000,-113000
Sales/Maturities of investments,-,207000,-,-
Other investing activites,-22000,-2000,-25000,17000
Net cash used for investing activites,-424000,-1708000,-896000,-262000
Net change in cash,1068000,128000,973000,-204000
Cash at beginning of period,4475000,3406000,2433000,2637000
Cash at end of period,5549000,3534000,3406000,2433000
Operating Cash Flow,6965000,12335000,-7993000,-4685000
Capital Expenditure,-447000,-262000,-256000,-166000
Free Cash Flow,6518000,12073000,-8249000,-4851000
