Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1420000,2635000,2814000,1771000
Depreciation & amortization,-,1286000,1021000,1238000
Change in working capital,-,-1052000,-363000,404000
Inventory,-,-1078000,-538000,133000
Other working capital,-,-775000,1647000,2444000
Other non-cash items,-,8000,9000,-1000
Net cash provided by operating activites,-,2379000,3791000,3794000
Investments in property plant and equipment,-,-3154000,-2144000,-1350000
Purchases of investments,-,-17000,-,-
Sales/Maturities of investments,-,47000,-,66000
Other investing activites,-,-31000,-52000,18000
Net cash used for investing activites,-,-3121000,-2195000,-1236000
Net change in cash,-,-1779000,781000,2639000
Cash at beginning of period,-,13013000,12231000,9592000
Cash at end of period,-,11233000,13013000,12231000
Operating Cash Flow,-,2379000,3791000,3794000
Capital Expenditure,-,-3154000,-2144000,-1350000
Free Cash Flow,-,-775000,1647000,2444000
