Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-303900,-303900,-392200,-375700,-390200
Acquisitions net,-,-,-,-36400,-
Other investing activites,-9700,-9700,-10600,-129100,-9300
Net cash used for investing activites,-313500,-313500,-402400,-541100,-399500
Debt repayment,-395000,-395000,-991400,-271000,-1240000
Dividends Paid,-868600,-868600,-822000,-731300,-481800
Other financing activites,-85400,-85400,-67100,-80900,-108500
Net cash used privided by (used for) financing activities,-908400,-908400,-837200,-624500,-588900
Net change in cash,148800,148800,-7100,17600,99000
Cash at beginning of period,476300,476300,483400,465800,366800
Cash at end of period,625100,625100,476300,483400,465800
Capital Expenditure,-303900,-303900,-392200,-375700,-390200
Free Cash Flow,1066800,1066800,840300,807500,697200
