Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,8795000,8287000,10413000,10009000
Depreciation & amortization,-,8630000,8596000,7018000
Change in working capital,-,5870000,-7334000,5674000
Inventory,-,704000,-2108000,6429000
Other working capital,-,10722000,-11455000,12216000
Other non-cash items,-,-186000,-898000,-159000
Net cash provided by operating activites,-,23786000,10866000,26003000
Investments in property plant and equipment,-,-13064000,-22321000,-13787000
Acquisitions net,-,-2283000,-,-30000
Purchases of investments,-,-15000,-133000,-27000
Sales/Maturities of investments,-,507000,10000,26000
Other investing activites,-,-939000,-1015000,-998000
Net cash used for investing activites,-,-14887000,-21373000,-14790000
Net change in cash,-,1563000,-7299000,12541000
Cash at beginning of period,-,12168000,19468000,6927000
Cash at end of period,-,13732000,12168000,19468000
Operating Cash Flow,-,23786000,10866000,26003000
Capital Expenditure,-,-13064000,-22321000,-13787000
Free Cash Flow,-,10722000,-11455000,12216000
