Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-799.293,-82.721,-257.187,-2112,-294.26
Acquisitions net,-,-,-,-20,-234.342
Other investing activites,-,-,99.999,-,-
Net cash used for investing activites,-299.293,-82.721,-157.188,-2132,-528.602
Debt repayment,-,-,-17.244,-,-
Common stock issued,-,2249,-,-,1100
Common stock repurchased,-,-,-,-,-67.65
Net cash used privided by (used for) financing activities,4993,2973,1562,3128,1748
Net change in cash,2068,1428,-215.683,-603.977,825.257
Cash at beginning of period,25.295,108.027,323.71,927.687,102.43
Cash at end of period,2094,1536,108.027,323.71,927.687
Capital Expenditure,-799.293,-82.721,-257.187,-2112,-294.26
Free Cash Flow,-3425,-1545,-1878,-3712,-688.116
