Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-8144,-9868,-7740,-8843,-9546
Acquisitions net,-,-82752,-690,-17141,-
Net cash used for investing activites,-89456,-92168,-8192,-25871,-8313
Common stock repurchased,-,-59,-26607,-3938,-540
Dividends Paid,-34581,-29816,-21724,-10950,-7718
Other financing activites,-1593,-369,-353,-175,-19429
Net cash used privided by (used for) financing activities,23767,29756,-48684,-15063,-27687
Net change in cash,-13827,-2889,22801,9811,26330
Cash at beginning of period,69975,73698,50897,41086,14756
Cash at end of period,56148,70809,73698,50897,41086
Capital Expenditure,-8144,-9868,-7740,-8843,-9546
Free Cash Flow,43718,49655,71937,41902,52784
