Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-6827,-10305,-1945,-428.423
Acquisitions net,-,-,-,-11.701
Net cash used for investing activites,-6827,-10305,-1945,-440.124
Common stock issued,-,10926,3050,4260
Common stock repurchased,-,-623.903,-194.7,-469.02
Net cash used privided by (used for) financing activities,-,10302,2855,3791
Net change in cash,-2477,-870.59,-171.97,2882
Cash at beginning of period,3001,2710,2882,-
Cash at end of period,524.452,1839,2710,2882
Capital Expenditure,-6827,-10305,-1945,-428.423
Free Cash Flow,-6766,-11173,-3027,-897.484
